image_name,condition,description,time,id
000000000049.jpg,essential,Two showmen are preforming tricks in an outdoor horse arena.,37318,zkeyfjsp
000000009372.jpg,essential,A bride and groom exit the venue surrounded by friends and family cheering them on.,32303,4ww6hjj9
000000003080.jpg,essential,An analog clock tower is outside of a building.,28435,dl2tjp3e
000000010324.jpg,essential,A dog is laying on his dog bed in an open refrigerator.,20475,wq3b7yla
000000002415.jpg,control,A group of men hold ropes to keep a cow from moving in a field.,64073,ufkljqx6
000000011494.jpg,control,People waving from a double decker bus that is decorated with a Pride flag.,26352,1ktx0f9e
000000005213.jpg,control,A motorcycle is parked on the side of a road beside the White Mountain National Park sign.,31003,ukcvhogl
000000009172.jpg,control,An analog clock is outside of a train terminal.,34970,5qglqahd
000000016308.jpg,control,A woman tennis player is on the court holding her racket looking off to the side.,28464,b8v26p7g
000000004975.jpg,control,A group of college graduates wait in line outside holding umbrellas.,30016,dfqwaor6
000000002415.jpg,time,A dog is about to jump over a little wall.,21471,as3risyf
000000011494.jpg,time,A Gay Pride parade with people celebrating on top of a bus adorned with a rainbow flag on the side.,58057,g73ti36l
000000005213.jpg,time,A motorcycle parked on the side of the road.,20476,0p8002as
000000009172.jpg,time,A clock on top of a pole in the middle of a city.,27648,110vs8cf
000000016308.jpg,time,Serena Williams is holding a racket down by her side during a tennis match.,37022,yc3xqf7j
000000004975.jpg,time,Graduation ceremony with everyone dressed in cap and gowns.,36926,10apshos
000000002415.jpg,comprehensive,A group of men holding strings that are tied to a horned animal. ,24291,r3fk426w
000000011494.jpg,comprehensive,"People on top of double decker bus waving, with LGBTQ+ sign and rainbow flag. ",36396,owc22arl
000000005213.jpg,comprehensive,A stationary motorcycles next to a sign of White Mountain National Forest. ,34670,cgwzgfqt
000000009172.jpg,comprehensive,An empty street sidewalk with a clock that says Elliott City and a bridge in the background. ,28817,qrtksxdk
000000016308.jpg,comprehensive,A woman tennis player on a tennis court as spectators watch. ,29932,y5swqxbm
000000004975.jpg,comprehensive,"People dressed in graduation robes, two hold umbrellas and one smiles at the camera. ",26301,umjrxhmt
000000006579.jpg,comprehensive,"A boy is holding a stuffed animal with a soldier nearby, and the boy is visually disturbed and upset.",33150,c1jmemu2
000000006780.jpg,comprehensive,A woman is on the ground after taking an injury in a soccer game.,15217,clhjdyg3
000000007069.jpg,comprehensive,A man is posing for the camera while holding up a frisbee golf disc.,15766,zxj312d1
000000011567.jpg,comprehensive,"The tennis player is holding a racket and ball, and is getting ready to serve.",24389,98umzwoq
000000018766.jpg,comprehensive,An umbrella is attached to a bike in the bar below the seat.,26465,lub2q0b5
000000005755.jpg,comprehensive,"A rusty old, blue shopping card sits next to a yellow fire hydrant.",24521,k7otnzyy
000000008305.jpg,essential,Three men in matching uniforms are standing in a gym holding volleyballs,44567,4wu4a6kb
000000002142.jpg,essential,A man is sitting on a bench outside surrounded by a flock of pigeons,31891,2trhwo5u
000000000049.jpg,essential,Two horses have their front legs raised in the air on a green field. The riders are wearing elaborate outfits,88009,wbuklyi9
000000009372.jpg,essential,A man in a suit and a woman in a wedding dress walk out a door past a group of people who are clapping and taking pictures,43020,pts5t428
000000003080.jpg,essential,A modern-looking clock tower stands near a building. The clock is analog and it reads 3:22,119189,16v611lj
000000010324.jpg,essential,A small white dog is sitting on a dog bed on the bottom shelf of a refrigerator with door open,44965,can87c0p
000000008305.jpg,time,Basket ball players holding ball in the game field.,99829,ox3owxyp
000000002142.jpg,time,A person sitting on a bench in an open area is feeding the birds ,41109,gead3mik
000000000049.jpg,time,Horse riders are riding their horses and the people are watching them.,46023,7onhejdz
000000009372.jpg,time,A wedding ceremony where the bride and the groom are dressed in white and are witnessed by the guests,70111,kimmry4t
000000003080.jpg,time,A building with glass windows and a clocktower showing the time.,34727,bsv9ksfy
000000010324.jpg,time,An open refrigerator with lots of items in it.,38114,tyvygtmg
000000011034.jpg,comprehensive,A young boy and a man are sitting on a blur couch playing a video game with white controllers.,30552,7741nxz5
000000002400.jpg,comprehensive,A man is sitting outside on a bench with 2 dogs sitting nearby.,59277,16ph1u5o
000000001053.jpg,comprehensive,A silver car is stopped waiting for 5 cyclists to cross the road.,36108,5zuyqg8d
000000007524.jpg,comprehensive,A police officer is on a horse while speaker to another police officer a motorcycle with a crowd of people in the background.,53640,9gj78vot
000000003325.jpg,comprehensive,A brown vase with painted images of people and horses is behind glass at a museum.,38298,6nprkg2a
000000012109.jpg,comprehensive,A tiny red and black car is parked on the street next to a parking meter.,38419,ohzf5qhi
000000006579.jpg,time,A solider is talking to a little boy holding a stuffed animal.,26766,5xupdwbj
000000006780.jpg,time,A female player has fallen to the ground holding a ball.,27702,7qp0puat
000000007069.jpg,time,A man wearing sunglasses is holding a yellow disc while waiting beside a sign.,26433,w40q8wv1
000000011567.jpg,time,A tennis player is holding his racket beside him as he squints his face.,27435,6azkm91m
000000018766.jpg,time,A bike is parked outside while it is raining.,21291,l1yvllnz
000000005755.jpg,time,A blue shopping cart is parked beside a yellow fire hydrant.,22730,pybl1bdh
000000011034.jpg,essential,A man and child seated with video game controllers in their hands. ,21139,plz54f7g
000000002400.jpg,essential,A man with a camera seated on a bench with two dogs. ,32222,4czw2za2
000000001053.jpg,essential,"Five people on bike crossing the street, while a car waits at a ride light. ",22842,f216btyu
000000007524.jpg,essential,A cop on a horse and a cop on a motorcycle wait as spectators on the sidewalk watch the street. ,40980,645qjz55
000000003325.jpg,essential,A Grecian urn in a display case at a museum. ,21934,jh11vndg
000000012109.jpg,essential,A smart car parallel parked on a road next to a parking meter. ,25629,yzkrls6t
000000011034.jpg,time,Dog jumping over the hurdle in a grass field,37707,1ksuct2s
000000002400.jpg,time,Man is sitting on a bench with two dogs,61374,uxypl9p4
000000001053.jpg,time,Five cyclists are crossing a road over the signal,180223,834bjlet
000000007524.jpg,time,Brown horse is standing in the middle of the road,40167,gel8afji
000000003325.jpg,time,Brown-colored vase with beautiful design is placed on a table,49271,idkr1f4i
000000012109.jpg,time,Red car is parked near a parking meter,60215,qy263u22
000000008305.jpg,control,Three men in pink uniforms are each holding a yellow and purple ball.,49527,of3tviab
000000002142.jpg,control,A man sitting and smiling on a park bench while feeding dozens of pigeons.,27503,inhtvgj7
000000000049.jpg,control,Two people are riding horses that are both standing on their two back legs.,36203,b3xz4xfx
000000009372.jpg,control,A bride and groom are walking out of a building with guests looking on.,36571,t1iwfnlm
000000003080.jpg,control,An office building with a little clock tower in front.,37192,v9bw5cdd
000000010324.jpg,control,A dog laying on a bed on the bottom shelf of a refrigerator.,26831,nqt0425v
000000008305.jpg,comprehensive,3 men each holding volley balls in their hands.,60562,2ryxs3zy
000000002142.jpg,comprehensive,An Asian man sitting on a park bench which is surrounded by pigeons.,41190,2a7ozyyg
000000000049.jpg,comprehensive,Two trick riders on horses engaged with both horses standing on only their back legs.,83592,v3c8ywv1
000000009372.jpg,comprehensive,An Asian Bride and Groom standing on the steps wearing their bridal outfits with guests on either side of them. ,70970,z4tkul5z
000000003080.jpg,comprehensive,"Glass building with a round clock showing the time of 3:22 and the works on the building of SIGEMAN & CO,  Tragardh, valea.",79333,xfi3ln1x
000000010324.jpg,comprehensive,Four open shelves of a refrigerator of an opened refrigerator with the bottom shelf holding a dog bed and a poodle laying atop of it with only the light from the refrigerator on. ,153150,ohxphwzl
000000006579.jpg,essential,A soldier speaks with a scared young child in the midst of a crowd of people.,50989,27h91bvo
000000006780.jpg,essential,Two teams play frisbee in a park meadow while onlookers watch from the sidelines.,62002,23afz2hz
000000007069.jpg,essential,A man holds a frisbee next to a sign on the twelfth hole of a frisbee course.,69453,oegoypzu
000000011567.jpg,essential,A tennis player holding a racket and ball looks up towards the opposite end of the court.,37741,wuhu13sq
000000018766.jpg,essential,A bike with an umbrella strapped to the frame sits next to a splashing fountain.,49179,q5r60iik
000000005755.jpg,essential,A lone shopping cart sits next to a yellow fire hydrant.,52343,55afq7s2
000000008305.jpg,essential,Three male volleyball players each hold a ball during warmups,44502,18j2zq0w
000000002142.jpg,essential,An older man sitting on a bench outside is surrounded by birds,44328,ady2x9e0
000000000049.jpg,essential,Two horses stand on their hind legs while their riders wear time-period outfits,56047,yepfsgpn
000000009372.jpg,essential,A bride and groom dressed in white are walking down the steps,41014,ws5ft8gl
000000003080.jpg,essential,A clock without numbers is in front of a corporate building,61936,zpgbqt8w
000000010324.jpg,essential,A dog is resting on a pillow inside of an open refrigerator,28391,40ppjmgf
000000008305.jpg,time,"Three male athletes, wearing pink uniforms are standing together in a gym.",37903,d5thwimi
000000002142.jpg,time,A person dressed in black is sitting on a park bench surrounded be dozens of pigeons.,36215,jq712n1y
000000000049.jpg,time,"Two horses are performing on a grassy field, rising up together on their back legs.",47473,5mbip1s9
000000009372.jpg,time,"An Asian couple, dressed in white clothing, just got married and walking down a stairway, lined with well wishers.",76648,r1a2ucqw
000000003080.jpg,time,A large clock is hanging on the outside of a business tower.,144313,k2uw3nsb
000000010324.jpg,time,"A refrigerator door is open, revealing the lighted inside and it's contents.",81287,jmgnxmcr
000000002415.jpg,essential,A group of men are holding rope that is tied to an animal.,66440,a8edcval
000000011494.jpg,essential,A group of people are at the top of a double decker bus that has a Pride flag on the side of it and are driving by a large amount of people.,95121,q14gogt8
000000005213.jpg,essential,A motorcycle is parked on the side of the road near a national forest sign.,40355,kmsoh949
000000009172.jpg,essential,A big clock is next to a lamppost on the sidewalk with a bridge behind it.,59797,md5168j7
000000016308.jpg,essential,A tennis player is holding a tennis racquet and is standing on the court in front of spectators.,55841,vtx9cwkp
000000004975.jpg,essential,Two people hold umbrellas near a group of people in caps and gowns outside of a building.,88474,nfztq0w6
000000011034.jpg,essential,An older man and a child are both holding a steering wheel controller of a video game while sitting on a blue couch.,39601,f7uu42hi
000000002400.jpg,essential,A man sitting on a wooden park bench with a brown and white dog in front of him and a black and white dog sitting behind the bench.,39191,i9ko2uk3
000000001053.jpg,essential,Five bicyclists are riding across a wet one way street.,36448,ev2b11k7
000000007524.jpg,essential,One police officer is on top of a horse while the other is sitting on a motorcycle.,63638,buszlz8n
000000003325.jpg,essential,An ancient vase with a horse drawn carriage on it is behind glass in a museum.,38521,xcymlvet
000000012109.jpg,essential,A red smart car is parked in front of a parking meter.,29767,6qup7x3d
000000011034.jpg,essential,A man and his child are in a living room playing a video game.,29706,gu3br58t
000000002400.jpg,essential,A happy man sits on a bench outside with his two dogs.,27024,rqsz3j6q
000000001053.jpg,essential,Five people on bikes cross the road in front of a car.,24769,zlj0k6i7
000000007524.jpg,essential,A police officer on a horse chats with another police office on a motorcycle.,29563,944vtxug
000000003325.jpg,essential,An ancient vase adorned with a chariot and people sits in a protective glass case in a museum.,48657,xzmxqk7z
000000012109.jpg,essential,A small red car is parked by an electric vehicle charging station on a city street.,32590,afv5lyzp
000000006579.jpg,time,A man is giving a small child a stuffed animal. ,40661,tnk2b7zz
000000006780.jpg,time,A group of people are playing ultimate frisbee and a woman is laying on the ground. ,36242,5igsvywz
000000007069.jpg,time,A man wearing sunglasses is standing next to a sign holding a frisbee. ,23798,mfma4t3i
000000011567.jpg,time,A man is holding a tennis rackets standing on a tennis court with tennis balls on the ground. ,38665,gup92pta
000000018766.jpg,time,"A bike is next to a large circular object, like a table top and it appears to be raining or just rained. ",36230,mw7rptpv
000000005755.jpg,time,A shopping cart is next to a fire hydrant. ,16036,2zponvrq
000000008305.jpg,control,Three men stand on an indoor court each holding a volleyball in their hands.,61555,rx7wkt4m
000000002142.jpg,control,A man sits on a park bench feeding a large group of pigeons surrounding him.,68743,qkizgfbb
000000000049.jpg,control,Two uniformed riders pull up on their horses in the middle of an equestrian course.,126085,zcw31gma
000000009372.jpg,control,A bride and groom leave down the steps of a church as onlookers clap and take photos.,62417,tw46jzf3
000000003080.jpg,control,A freestanding clock sits outside of a large office building.,73476,88xkaryx
000000010324.jpg,control,An open refrigerator door reveals a dog sitting on a pillow on the bottom shelf.,51550,tf2o061w
000000011034.jpg,comprehensive,A man and a young child are sitting in a living room playing a Wii game. ,25897,2vt2z2v9
000000002400.jpg,comprehensive,A man is sitting on a rustic wooden bench in a woodsy area with two large dogs. ,33290,xge5f0f9
000000001053.jpg,comprehensive,A group of 5 bicyclists are crossing a the street at a cross rock while a silver car waits.   ,71431,cvgmtjye
000000007524.jpg,comprehensive,A cop on a horse talks to a cop on a motorcycle near a group of people at in intersection.  ,75741,imqva4uv
000000003325.jpg,comprehensive,A brown urn with a horse pulling a cart painted on it in a museum with people in the background looking at different items in the museum.  ,127139,ggak9l25
000000012109.jpg,comprehensive,A small eco-friendly car parked next to a parking meter. ,26675,2wnniokp
000000002415.jpg,time,A group of men have an animal to help with labor,41070,cy3n3r0x
000000011494.jpg,time,A rainbow flag hangs over the edge of a double-deck bus,35908,o2bbicld
000000005213.jpg,time,A motorcycle is on the road near a forest area,33196,gt1uovf0
000000009172.jpg,time,A clock stands in front of a well-constructed arch,30666,kvrpt8lw
000000016308.jpg,time,A professional female tennis player stands on the court with her racket,48240,bif92skc
000000004975.jpg,time,A woman in a group of people politely smiles while holding an umbrella over her head,32450,6iaspce3
000000008305.jpg,comprehensive,"Three men inside a gymnasium wearing light pink sports jerseys and shorts are each holding a yellow and blue striped ball, looking toward the other side of the gym.",167417,qmsmwksf
000000002142.jpg,comprehensive,"An elderly gentleman is sitting on a wooden bench in a park, surrounded by a large flock of pigeons, who are eating food he has thrown on the ground for them.",74836,uwxfl31v
000000000049.jpg,comprehensive,"One dark colored horse and one white horse, each being ridden by a man in a white and blue costume, are both rearing up on their hind legs on a bright green lawn.",94703,a5k3sg3m
000000009372.jpg,comprehensive,"The bride and groom, both dressed in all white, are exiting the wedding venue onto the outside stairs, surrounded by people on both sides of the steps who are taking pictures and clapping for them.",64548,9xwgyooe
000000003080.jpg,comprehensive,"An all-metal clock face with no numbers on it, is on the side of a tall building, and is showing a time of 3:22 in the afternoon.",86797,w3zvvnjc
000000010324.jpg,comprehensive,"In a dark kitchen, a refrigerator door is open with the light on inside of it, showing the crowded contents, but a small dog in a bed on the lowest shelf, looking out at the kitchen.",71220,1eqhdtfe
000000008305.jpg,control,Three men in pink uniforms holding a blue and green volley balls look into the distance. ,75460,1n5fiiqb
000000002142.jpg,control,A man sitting on a bench with a baseball hat surrounded by pigeons. ,41431,zzx7dx12
000000000049.jpg,control,A black and white horse on their hind legs each with a person in a white outfit and hat on a large grass field with equestrian equipment in the background. ,115067,cpy8subk
000000009372.jpg,control,"A couple in wedding attire walks out of a building surrounded bhy people, some of whom have cameras. ",34378,4ykyovt6
000000003080.jpg,control,An office building with a clock tower in front showing the time of 3:22 PM since their is daylight. ,91256,83xysznb
000000010324.jpg,control,A side by side fridge with the right refrigerator door open and the light on in a dark kitchen.  ,47106,8rt3pgam
000000011034.jpg,time,A man and child sit on a couch together.,33641,e3qyz1l7
000000002400.jpg,time,A man sits on a park bench with two large dogs sitting on either side of the bench.,50460,nwnpaqpz
000000001053.jpg,time,Bike riders form up in a line in a small parking area.,41864,4qtr8qdf
000000007524.jpg,time,Policemen on a horse and a motorcycle sit in front of people lined up on the side of the road.,53718,en0qsenc
000000003325.jpg,time,An ancient urn sits in a glass case in the middle of a gallery.,38104,luxyyjrk
000000012109.jpg,time,A small car is parked on the street next to a meter.,47416,azygyyad
000000002415.jpg,comprehensive,Men surround an ox tethered by ropes in a field surrounded by stone houses.,62571,akq7j10p
000000011494.jpg,comprehensive,People wave from the top of a double decker bus to onlookers lined up along the road.,82928,m3f7uzn7
000000005213.jpg,comprehensive,A lone motorcycle sits parked on the side of a country road.,23665,me99cvp4
000000009172.jpg,comprehensive,A freestanding clock sits near a metal bridge on a clear sunny day.,64619,jlxaoeyq
000000016308.jpg,comprehensive,A female tennis player stands on a grass court as fans watch on from the stands.,40722,kenpjlj3
000000004975.jpg,comprehensive,People wearing graduation robes stand outside a large brick building in the rain.,43984,k4j4c5dc
000000011034.jpg,essential,An Adult and a young boy holding gaming tools seated on the couch in living room.,288742,p6fl6gqc
000000002400.jpg,essential,Person with two dogs is sitting on a bench with a camera.,41383,0187a0xi
000000001053.jpg,essential,Five bicycle riders wearing helmets with  are crossing the road.,94999,evhxyzne
000000007524.jpg,essential,A policemen on a bike and a girl on the horse are on the road.,124367,nfuvjmvu
000000003325.jpg,essential,A vase with some ancient paintings on it is inside  a glass chamber.,53471,ziv34ahf
000000012109.jpg,essential,A small car is parked near a petrol station.,23840,bjraa6ox
000000011034.jpg,essential,A man and a boy are sitting on a char in a living room holding game controllers,59966,fgkh5zls
000000002400.jpg,essential,A man holding a camera is sitting on a park bench outdoors with two dogs,43448,0087831n
000000001053.jpg,essential,A group of bicyclists are crossing a street,42871,zkdk33jh
000000007524.jpg,essential,A couple of police officers are stopped on a street near a crowed. One is on horseback and the other is on a motorcycle.,86814,gpn6b831
000000003325.jpg,essential,An ancient vase on display in a museum. The painting on the vase displays a few people on a chariot with horses.,42622,l3c6ypfq
000000012109.jpg,essential,A small electric car is parked on the side of the street next to a parking meter.,27775,vf52bryq
000000011034.jpg,control,The man and his son sitting in the sofa playing video games.,82873,8ugtpjgb
000000002400.jpg,control,A photographer took photo with dogs in the park.,32365,c5ty50m0
000000001053.jpg,control,Number of bicyclists cross the road in bicycle.,71070,f47duko3
000000007524.jpg,control,A girl sitting on the horse and police man watching her.,26472,zbo4k88x
000000003325.jpg,control,An artistic pot showcase in the museum for people.,51830,n1w94ec2
000000012109.jpg,control,A red with black color nano car stop in front of petrol punk.,42166,ub5owkd4
000000008305.jpg,comprehensive,A group of friends playing volley ball in a tournament,95756,k21wbuiv
000000002142.jpg,comprehensive,An old man feeding food to a number of birds,103840,05ydce15
000000000049.jpg,comprehensive,Two men with two horses practicing for race,163693,ldiygq0h
000000009372.jpg,comprehensive,A married couple came out from wedding hall,39758,f87c9n67
000000003080.jpg,comprehensive,In a outside building there is clock it shows the time,94415,iu2oryj1
000000010324.jpg,comprehensive,A cute little dog  is laying on the open refrigerator,57871,ijikjui1
000000006579.jpg,comprehensive,A group of people including a female soldier surround a boy holding a toy.,70044,n6wod17m
000000006780.jpg,comprehensive,A group of players playing in a field while other people are watching them.,37602,82yy8tyw
000000007069.jpg,comprehensive,A man with frisbee is standing near a advertisement board.,45416,hlym5owp
000000011567.jpg,comprehensive,A badminton player holding a racket and a ball is in badminton field.,45579,2yqlyt8n
000000018766.jpg,comprehensive,A blue bicycle on which an umbrella is tied.,54325,7k73ib1k
000000005755.jpg,comprehensive,A blue trolly basket is placed near a fire extinguisher.,57764,o6y4uh1v
000000011034.jpg,essential,A boy and a man sitting on a couch playing a game on the Wii system in their living room. A fish tank is behind them.,45032,vyeejygq
000000002400.jpg,essential,Two dogs are sitting by a bench that a bald man is sitting on. He is holding a camera.,23591,wqzfrjyg
000000001053.jpg,essential,5 people riding bicycles are crossing a road with helmets on.,27931,zjgppmk9
000000007524.jpg,essential,"Two police offers are talking to each other, one of which is on a motorcycle, while the other is on a horse.",21987,nlck6m0b
000000003325.jpg,essential,An ancient vase is sitting a clear glass case with other objects behind it.,47447,65jjh73e
000000012109.jpg,essential,A small red smart car is parked next to a parking meter.,15086,w3tb03j4
000000002415.jpg,comprehensive,A group of men have tied rope around an animal and are holding the ends of the rope.,48785,2o1gtrw7
000000011494.jpg,comprehensive,People are standing on top of an open top bus waving at a crowd.,20496,tvhm1kdh
000000005213.jpg,comprehensive,A motorbike is parked at the side of the road in the countryside.,18496,kj9nxoh6
000000009172.jpg,comprehensive,A tall clock is in the middle of a courtyard,30078,nr10al69
000000016308.jpg,comprehensive,A tennis player is standing on a tennis court while a crowd watches her,17944,rxgfjrvg
000000004975.jpg,comprehensive,People in robes and hats are standing in line waiting to attend a ceremony,41947,4d0w4urm
000000011034.jpg,essential,A man and a boy playing a video game in the living room,25205,ah7cnacg
000000002400.jpg,essential,A man sitting on a park bench with two dogs sitting in the grass,21601,7pxmi28b
000000001053.jpg,essential,Five cyclists riding across the street at a traffic light,27691,t1uvyzy4
000000007524.jpg,essential,A horseback cop and a motorcycle cop talking in the middle of the streeet,28001,y80c7v5f
000000003325.jpg,essential,A brown pottery item with paintings of people and horses on it,23751,z20goq22
000000012109.jpg,essential,A small red car parked in front of a parking meter on the street,38020,gjnk3041
000000008305.jpg,essential,A group of men holding balls and wearing pink uniforms in a gym.,22965,w5d8qlz2
000000002142.jpg,essential,A man is sitting on a bench and is feeding birds in the park.,11338,2qxhcumb
000000000049.jpg,essential,2 men wearing rustic attire are riding horses that are rearing back in a field.,17857,4bnuvxph
000000009372.jpg,essential,A man and wife who are in a marriage ceremony walk out of a building with many spectators.,19301,nps5rqc8
000000003080.jpg,essential,A clock tower made of brick stands in front of a large city building.,13800,rmi17cxu
000000010324.jpg,essential,"A refrigerator door is open and filled with items, on one shelf a dog lays down on a pillow.",18356,hu3fh214
000000006579.jpg,comprehensive,A military woman talking to a child holding a stuffed animal toy,24257,s4uf8bc5
000000006780.jpg,comprehensive,"Several people on a field, and playing a sports game",27895,gsacry90
000000007069.jpg,comprehensive,A man with a yellow round item standing next to a sign,33120,impvkfhu
000000011567.jpg,comprehensive,"A man with a lawn tennis racket and holding a tennis ball, making a face",28115,iqmpa9iy
000000018766.jpg,comprehensive,A blue bicycle with a red umbrella strapped to its side,21376,acqwjxb3
000000005755.jpg,comprehensive,A yellow fire hydrant next to a blue rite aid shopping cart,16751,bwb08nhn
000000008305.jpg,comprehensive,Three players hold the ball with their hands in the basket ball ground.,59443,ngisjm78
000000002142.jpg,comprehensive,An old man feed the food to the number of Doves.,39965,vlxqijrb
000000000049.jpg,comprehensive,Two horse riders riding on the black and white horse.,61071,jcs69tdu
000000009372.jpg,comprehensive,A wedding couple walk in front of wedding hall.,58327,mbx2ot0y
000000003080.jpg,comprehensive,A clock place in front of the building in height.,42421,qhc4hpg7
000000010324.jpg,comprehensive,A refrigerator open and a dog lay down in the  refrigerator.,53768,isr2f75u
000000006579.jpg,control,A child cries as an American military member talks to him,41864,bus437u5
000000006780.jpg,control,A mixed group plays ultimate frisbee in the grass,36151,3d1nn53d
000000007069.jpg,control,A man holding a frisbee stands near a disc golf course sign,29464,fnzie3ui
000000011567.jpg,control,A pro tennis player has a grimace on his face,25159,ua369bq3
000000018766.jpg,control,An umbrella is tethered to the middle of a bicycle,24920,3wurn4in
000000005755.jpg,control,A shopping cart rests on grass near a fire hydrant,26903,ktfotyzv
000000006579.jpg,time,Some soldiers are trying to comfort a child who is holding a stuffed animal.,41660,lesfht4l
000000006780.jpg,time,A team of women are practicing athletics on a green field.,40096,8xpgxiim
000000007069.jpg,time,A man is standing in front of a sign near a wooded area and holding a frisbee.,34039,1d8e7r74
000000011567.jpg,time,A tennis player is standing on the court with a pained expression on his face.,45625,yuu7x2i5
000000018766.jpg,time,A bicycle is outside in front of a large cement structure and it is raining.,24694,hoal4jqu
000000005755.jpg,time,A blue shopping cart is next to a yellow fire hydrant on the side of the road.,37307,501ealus
000000008305.jpg,essential,Three men in pink uniforms hold volleyballs in a volleyball court with advertisements behind them.,21955,ghwg4i20
000000002142.jpg,essential,A man sits on a park bench while feeding a large group of pigeons.,13938,nnf6jnz8
000000000049.jpg,essential,Two men ride horses with the horses' two front legs in the air.,21591,h9bqf6p9
000000009372.jpg,essential,A man and a woman in white wedding attire go down steps with people on each side looking at them.,30100,m84zimce
000000003080.jpg,essential,A modern looking clock with notches is on a brick pillar in front of a large building.,27558,485q6xqo
000000010324.jpg,essential,A fridge with two doors has one door open to display its full contents.,14594,m7csi24m
000000011034.jpg,comprehensive,An adult male and child play with remote control steering wheels in a room,33306,0pemmo9z
000000002400.jpg,comprehensive,A man sits outside on a bench with two dogs lying in the grass,16774,k6g0mwcg
000000001053.jpg,comprehensive,Bicyclists cross the street in front of a vehicle.,34839,pecpxe7i
000000007524.jpg,comprehensive,A police officer on a horse waits near a bike cop.,17836,cxth49oc
000000003325.jpg,comprehensive,An ancient pot in a museum has artwork of a chariot on the outside,43090,n3rtzdbf
000000012109.jpg,comprehensive,A very small car rests on the street next to a parking meter,28904,14kfgc6z
000000006579.jpg,control,"A child is crying and a military person gave the child a teddy bear and s talking to the child, trying to sooth him.",44593,m3r8erli
000000006780.jpg,control,"On a sunny day, there are teenagers playing in the park, running and having fun.",27545,5gflf177
000000007069.jpg,control,In the park there are a lot of trees and a man is standing with a yellow frisbee looking at the frisbee golf course.,42322,ipyr1nk9
000000011567.jpg,control,A male tennis player is standing on a blue clay court holding his raquet and tennis ball.,29477,4yq6vwy6
000000018766.jpg,control,A bicycle is in the rain and it has an umbrella attached to the frame.,30072,qf8u89go
000000005755.jpg,control,On a street there is a yellow fire hydrant with a blue Rite Aid shopping cart next to it.,22064,u1kxyenq
000000006579.jpg,essential,A boy child crying and he hold the toy with his hand. A police officer talk to him.,58274,a5dvp3di
000000006780.jpg,essential,Number of people playing and relaxing in the park.,34405,c45nrq7e
000000007069.jpg,essential,A man hold yellow color plate and stand in front of the advertisement board.,56696,2zem8au1
000000011567.jpg,essential,A tennis player hold a bat and ball with his hand.,48317,4tgqy81x
000000018766.jpg,essential,A bicycle standing in the street and rain is wet the bicycle.,98799,4vsqv1mv
000000005755.jpg,essential,A yellow color fire hydrant place in the street.,33934,ep817nig
