description_id,image_name,fluency,correctness,detail
1hz8ochr,000000005213.jpg,71,66,75
3vi7z2f9,000000004975.jpg,47,84,21
68pysckx,000000016308.jpg,67,91,77
mtrx59eb,000000003080.jpg,94,77,19
yc3xqf7j,000000016308.jpg,74,96,74
98umzwoq,000000011567.jpg,84,94,86
6rw1wqip,000000009372.jpg,83,95,87
stcokee1,000000005755.jpg,92,90,94
ai0ler9m,000000009172.jpg,84,95,29
4vzy57zd,000000012109.jpg,68,91,21
1h3jc46f,000000007524.jpg,18,63,1
g9b3ya3y,000000016308.jpg,65,100,9
gr1tm90t,000000005213.jpg,100,100,100
afcjg2qg,000000005213.jpg,100,73,63
tf2o061w,000000010324.jpg,100,100,71
2tem4vp2,000000007069.jpg,100,100,71
1h8y8cs7,000000011034.jpg,52,100,72
qf8u89go,000000018766.jpg,61,100,21
wq3b7yla,000000010324.jpg,100,100,33
vlj7j8xx,000000016308.jpg,100,100,61
ziv34ahf,000000003325.jpg,70,100,16
xq0df7ky,000000006579.jpg,69,51,37
2a7ozyyg,000000002142.jpg,71,100,65
683rr9td,000000011567.jpg,73,73,8
csp106dw,000000009172.jpg,76,73,93
gu3br58t,000000011034.jpg,68,92,77
7c4ftpf6,000000016308.jpg,10,73,80
a8edcval,000000002415.jpg,73,97,36
hpbtbgm5,000000002415.jpg,96,100,100
6iaspce3,000000004975.jpg,94,96,37
cak70l4w,000000002142.jpg,63,95,78
8nujxfzh,000000012109.jpg,75,97,50
9pu0ye5d,000000004975.jpg,88,51,82
lkudwjg7,000000016308.jpg,36,95,20
fnzie3ui,000000007069.jpg,70,89,51
7741nxz5,000000011034.jpg,35,85,85
utwblqmj,000000003080.jpg,30,90,71
3ifqq5va,000000011494.jpg,5,34,23
91kj63s0,000000011034.jpg,89,97,92
4bnuvxph,000000000049.jpg,53,72,72
xcymlvet,000000003325.jpg,98,98,97
dazz3czt,000000007524.jpg,98,98,80
83xysznb,000000003080.jpg,7,70,43
ds2cbj13,000000006780.jpg,26,69,11
v8at4iuk,000000002415.jpg,92,73,7
qkizgfbb,000000002142.jpg,93,96,75
y2riax68,000000009172.jpg,95,60,1
mfma4t3i,000000007069.jpg,95,96,31
yh6xcnb9,000000007069.jpg,92,60,3
zjgppmk9,000000001053.jpg,77,70,69
n3xf50ab,000000006579.jpg,91,72,34
4qtr8qdf,000000001053.jpg,7,32,36
r3fk426w,000000002415.jpg,92,77,27
w2nqrjyq,000000006780.jpg,97,98,32
3wurn4in,000000018766.jpg,96,98,72
zxj312d1,000000007069.jpg,98,98,63
2po3r6m6,000000002142.jpg,97,59,32
4r988sds,000000005213.jpg,99,81,75
ap6yi196,000000007524.jpg,74,6,63
dtgbygwp,000000005755.jpg,95,98,98
cn0mqfu9,000000005213.jpg,59,94,62
y80c7v5f,000000007524.jpg,42,88,76
pybl1bdh,000000005755.jpg,71,92,71
fumotdsv,000000004975.jpg,79,82,89
hau9wuh5,000000005213.jpg,63,20,51
ws5ft8gl,000000009372.jpg,88,93,51
yirqctd8,000000009372.jpg,57,95,96
krutao1n,000000001053.jpg,94,92,68
hlym5owp,000000007069.jpg,69,43,67
2d9e0qz5,000000003325.jpg,51,97,38
ivgak54t,000000011494.jpg,54,100,29
ryrb7041,000000002415.jpg,43,100,24
7gv7cwtn,000000016308.jpg,19,49,56
xv1teg7u,000000003080.jpg,72,100,22
psvvsnu5,000000011494.jpg,31,100,70
9ac44xfz,000000005755.jpg,100,100,77
15pgryoh,000000011494.jpg,69,100,40
jdt7l6x8,000000016308.jpg,1,96,100
55afq7s2,000000005755.jpg,100,100,74
ev2b11k7,000000001053.jpg,100,100,82
drdujmli,000000008305.jpg,63,100,18
c18gv0wy,000000001053.jpg,40,41,100
ytqxjvay,000000011567.jpg,100,100,1
w40q8wv1,000000007069.jpg,100,100,1
4gcrvwqh,000000012109.jpg,100,67,31
16ph1u5o,000000002400.jpg,81,100,36
qy263u22,000000012109.jpg,59,100,1
sn8amdgv,000000004975.jpg,43,14,38
agtstuxc,000000006780.jpg,100,100,1
451lk3m9,000000011567.jpg,100,100,1
vgtib6hy,000000003080.jpg,63,100,82
341xj3hd,000000002142.jpg,63,100,26
j994m44l,000000001053.jpg,100,100,1
9sdgzy82,000000000049.jpg,100,100,1
95sdvazg,000000002400.jpg,100,73,1
62b3fmys,000000004975.jpg,65,93,1
8zim26of,000000001053.jpg,100,100,24
tbwl7y4y,000000006780.jpg,62,100,100
1ksuct2s,000000011034.jpg,77,1,1
b9lgempp,000000001053.jpg,100,100,41
onaalgvm,000000005755.jpg,100,100,51
2o0yu5mi,000000011494.jpg,100,100,74
8igg2ahy,000000011034.jpg,70,100,51
r8hbck99,000000005213.jpg,100,50,51
tv0klclm,000000012109.jpg,72,100,75
jec31rbm,000000012109.jpg,100,100,50
g60hxr8i,000000001053.jpg,100,84,77
7gun6lib,000000009172.jpg,100,100,84
7k73ib1k,000000018766.jpg,100,100,52
lkuxbrty,000000001053.jpg,67,68,37
2trhwo5u,000000002142.jpg,90,100,79
3bqttebb,000000018766.jpg,90,59,100
2zem8au1,000000007069.jpg,72,68,71
zpgbqt8w,000000003080.jpg,97,99,73
qqmxko1u,000000011567.jpg,90,87,37
jqs767v4,000000010324.jpg,61,74,75
jddn93ns,000000002142.jpg,99,100,99
9gmpf7eq,000000005755.jpg,79,100,59
can87c0p,000000010324.jpg,89,91,85
rdjkcdwb,000000009172.jpg,71,70,22
38hjgh4d,000000005755.jpg,67,99,51
14kfgc6z,000000012109.jpg,70,100,66
16do4bam,000000018766.jpg,99,99,100
5uuo7txc,000000008305.jpg,100,51,65
jmgnxmcr,000000010324.jpg,100,100,72
lhqjvsok,000000009172.jpg,87,100,88
ijikjui1,000000010324.jpg,72,83,51
4czw2za2,000000002400.jpg,100,100,69
96dksxjh,000000018766.jpg,99,100,70
p42o0is8,000000009372.jpg,100,100,100
bltkngav,000000003325.jpg,100,98,99
ohxtb5lz,000000007069.jpg,98,94,100
7z9ralwr,000000009172.jpg,91,100,100
a5k3sg3m,000000000049.jpg,100,100,100
oofvd8r5,000000011034.jpg,100,77,39
qexsol7t,000000003325.jpg,100,100,89
nimqjqbk,000000006579.jpg,100,63,100
nr50e7qx,000000002400.jpg,100,100,67
wbuklyi9,000000000049.jpg,100,100,96
mhk550cs,000000009372.jpg,100,100,84
3uaybg5k,000000008305.jpg,100,100,66
twd6hicd,000000011567.jpg,26,79,71
zkdk33jh,000000001053.jpg,100,100,35
yzis3clk,000000004975.jpg,23,99,51
ua369bq3,000000011567.jpg,100,100,62
2d1kfpxl,000000003325.jpg,39,100,100
gb6nne3i,000000011567.jpg,100,100,73
ootkru5h,000000008305.jpg,99,100,73
qslv8xpf,000000005213.jpg,98,76,68
ckc3yf5s,000000011567.jpg,89,100,92
mzvrcm0z,000000007524.jpg,100,100,71
xt1x0m9j,000000001053.jpg,74,100,69
s9xw1n0s,000000002400.jpg,83,100,71
umjrxhmt,000000004975.jpg,72,100,74
2qxhcumb,000000002142.jpg,100,100,61
sssyufse,000000003325.jpg,100,100,100
8f3a18ny,000000003325.jpg,100,100,77
4tqmdgm8,000000007069.jpg,39,80,64
4k7oabpt,000000005213.jpg,100,100,88
iqmpa9iy,000000011567.jpg,33,67,61
tnk2b7zz,000000006579.jpg,61,30,60
zg3idl87,000000007524.jpg,74,100,73
ootkru5h,000000008305.jpg,83,100,74
pl9hkxpb,000000011034.jpg,100,82,65
iqmpa9iy,000000011567.jpg,79,72,70
y02kx6w9,000000012109.jpg,66,100,43
r1a2ucqw,000000009372.jpg,48,89,76
1itgkzyh,000000008305.jpg,69,84,77
55ws0ptq,000000002142.jpg,42,90,1
oe0aw474,000000003325.jpg,40,69,25
wvrky82i,000000005755.jpg,96,97,50
4tgqy81x,000000011567.jpg,65,96,24
fqbjknjd,000000002400.jpg,30,98,74
485q6xqo,000000003080.jpg,95,98,75
8igg2ahy,000000011034.jpg,94,73,3
izf9r2vy,000000011034.jpg,96,97,97
vrsjonvo,000000007069.jpg,100,100,100
58hchenn,000000002142.jpg,99,99,70
dfqwaor6,000000004975.jpg,96,75,69
fbkly76h,000000012109.jpg,95,95,99
fnzie3ui,000000007069.jpg,70,100,72
ziv34ahf,000000003325.jpg,73,90,73
oa267r15,000000007069.jpg,78,65,64
mgkc2boi,000000008305.jpg,56,31,64
di6v1ke1,000000009172.jpg,82,98,74
ryrb7041,000000002415.jpg,82,100,86
avpv34rf,000000012109.jpg,33,37,44
2d9e0qz5,000000003325.jpg,65,59,2
c1jmemu2,000000006579.jpg,100,100,100
3xk12dyn,000000006579.jpg,71,71,28
vw83irke,000000006579.jpg,84,86,85
ah7cnacg,000000011034.jpg,84,83,72
yke9if1u,000000006579.jpg,78,60,69
6nprkg2a,000000003325.jpg,87,94,84
8pj04x48,000000006780.jpg,81,38,43
7741nxz5,000000011034.jpg,51,51,51
u10j8ksh,000000011034.jpg,60,42,59
pzyztfq7,000000011567.jpg,72,84,65
cio7nedb,000000016308.jpg,84,82,82
w3tb03j4,000000012109.jpg,82,82,75
zc2jqvhx,000000010324.jpg,33,58,58
7bdonrfh,000000009172.jpg,100,100,76
f7uu42hi,000000011034.jpg,83,100,82
ljlb0dj7,000000002415.jpg,70,72,67
k7otnzyy,000000005755.jpg,95,84,68
fto4fhwq,000000007524.jpg,100,69,67
944vtxug,000000007524.jpg,100,100,75
agtstuxc,000000006780.jpg,100,100,70
afcjg2qg,000000005213.jpg,100,100,71
94tjk9g0,000000006579.jpg,100,100,73
15pgryoh,000000011494.jpg,51,51,51
4mcg5q2q,000000018766.jpg,51,51,51
xgqohpln,000000001053.jpg,51,51,51
2zem8au1,000000007069.jpg,51,51,51
ghwg4i20,000000008305.jpg,51,51,51
s198zi32,000000006579.jpg,51,51,51
ohzf5qhi,000000012109.jpg,51,51,51
bif92skc,000000016308.jpg,51,51,51
wuhu13sq,000000011567.jpg,51,51,51
7onhejdz,000000000049.jpg,51,51,51
3zsisg3u,000000009172.jpg,67,80,62
ap6yi196,000000007524.jpg,70,69,63
oofvd8r5,000000011034.jpg,86,82,63
arpc0ldf,000000002415.jpg,68,9,40
m3f7uzn7,000000011494.jpg,84,85,76
24buoazu,000000009172.jpg,89,69,64
luxyyjrk,000000003325.jpg,83,84,71
gk8bj4sd,000000007069.jpg,78,87,62
ycmkdik4,000000007524.jpg,93,90,66
gup92pta,000000011567.jpg,66,63,58
jlxaoeyq,000000009172.jpg,99,28,62
pts5t428,000000009372.jpg,98,100,97
bsv9ksfy,000000003080.jpg,72,97,27
m84zimce,000000009372.jpg,94,97,65
a1f5a4zi,000000000049.jpg,93,42,8
s0kcjlwz,000000003080.jpg,83,55,86
k4j4c5dc,000000004975.jpg,94,77,81
j0xmshit,000000002415.jpg,82,79,33
xcymlvet,000000003325.jpg,95,98,61
sn8amdgv,000000004975.jpg,95,7,85
uwxfl31v,000000002142.jpg,95,73,99
ub5owkd4,000000012109.jpg,95,30,90
v1lh4ioe,000000005755.jpg,96,96,94
plz54f7g,000000011034.jpg,97,97,66
nfuvjmvu,000000007524.jpg,99,96,60
leksvg0y,000000003080.jpg,97,3,36
syxfit2t,000000003325.jpg,97,96,12
g60hxr8i,000000001053.jpg,97,100,74
82yy8tyw,000000006780.jpg,100,96,59
5a91fvao,000000009372.jpg,98,98,82
kvrpt8lw,000000009172.jpg,97,8,73
nbn0hvvf,000000010324.jpg,98,99,81
xvw8z2fo,000000012109.jpg,100,100,58
pecpxe7i,000000001053.jpg,99,100,39
qkizgfbb,000000002142.jpg,99,100,80
poo4p6kk,000000003325.jpg,100,98,71
wbuklyi9,000000000049.jpg,100,100,98
imqva4uv,000000007524.jpg,100,28,98
cvgmtjye,000000001053.jpg,100,99,98
0187a0xi,000000002400.jpg,99,100,62
8su7a0jf,000000004975.jpg,98,72,81
fp56dml2,000000002400.jpg,99,76,12
kimmry4t,000000009372.jpg,99,97,76
rxgfjrvg,000000016308.jpg,99,99,58
o6y4uh1v,000000005755.jpg,100,1,35
c3g380ga,000000006579.jpg,98,45,60
ldiygq0h,000000000049.jpg,100,50,50
pr4un8fq,000000004975.jpg,99,77,71
idkr1f4i,000000003325.jpg,100,33,33
1ktx0f9e,000000011494.jpg,100,99,65
3bqttebb,000000018766.jpg,92,71,62
ngisjm78,000000008305.jpg,42,31,18
5gflf177,000000006780.jpg,100,97,93
k4xrbmok,000000002415.jpg,100,82,1
9rw8l8dn,000000004975.jpg,72,71,10
qexsol7t,000000003325.jpg,100,84,75
fsdd8h94,000000002415.jpg,100,100,1
ijikjui1,000000010324.jpg,71,100,72
g8ed36z4,000000002400.jpg,100,91,88
zplmz96q,000000011494.jpg,72,100,28
zpgbqt8w,000000003080.jpg,100,100,70
j8l49fu0,000000009372.jpg,100,100,73
qrtksxdk,000000009172.jpg,100,100,100
1fzfoqnb,000000011494.jpg,100,100,95
yxcdndmc,000000002415.jpg,72,99,91
99ajrmni,000000006780.jpg,97,100,28
fumotdsv,000000004975.jpg,94,100,76
5cx3d3gq,000000002142.jpg,100,99,52
rx7wkt4m,000000008305.jpg,96,100,67
2trhwo5u,000000002142.jpg,88,100,50
6azkm91m,000000011567.jpg,100,100,59
05ydce15,000000002142.jpg,99,100,31
zr8mtasi,000000003080.jpg,95,100,66
gu3br58t,000000011034.jpg,92,100,58
v9bw5cdd,000000003080.jpg,100,100,51
z3dl8zcp,000000008305.jpg,100,100,65
xisymuyo,000000007524.jpg,100,100,100
e3qyz1l7,000000011034.jpg,93,100,23
xt1x0m9j,000000001053.jpg,94,100,69
vlxqijrb,000000002142.jpg,73,100,26
1f6w3fde,000000001053.jpg,87,100,69
9xwgyooe,000000009372.jpg,96,100,100
yzkrls6t,000000012109.jpg,100,100,62
7gun6lib,000000009172.jpg,100,100,78
qpwlchfd,000000011494.jpg,88,100,78
c45nrq7e,000000006780.jpg,94,100,34
t1iwfnlm,000000009372.jpg,100,100,68
aa91cqqd,000000002142.jpg,100,100,51
s9xw1n0s,000000002400.jpg,99,100,68
h6sl1nkz,000000011034.jpg,99,71,100
8ketnwn6,000000005213.jpg,67,76,77
gel8afji,000000007524.jpg,100,100,17
hlym5owp,000000007069.jpg,100,70,51
jrumaqrb,000000016308.jpg,95,79,26
lw3w9rcc,000000002400.jpg,100,99,70
rg0fvye6,000000004975.jpg,83,46,51
0rtlpmgg,000000006780.jpg,51,51,65
drdujmli,000000008305.jpg,100,100,73
pr7lbj89,000000002400.jpg,100,94,51
mr88wzl4,000000009372.jpg,100,100,53
1gxvmnoi,000000016308.jpg,100,100,69
c54xnn0c,000000010324.jpg,100,84,31
2fgokad7,000000009172.jpg,100,100,87
tumfpe13,000000006780.jpg,100,100,78
gt1uovf0,000000005213.jpg,100,100,44
evhxyzne,000000001053.jpg,100,100,51
68pysckx,000000016308.jpg,100,100,51
75nruwo9,000000011567.jpg,100,100,100
1xjujwhp,000000002142.jpg,100,100,51
sgyiae6o,000000011034.jpg,100,100,51
g73ti36l,000000011494.jpg,76,100,91
t8ucnqn3,000000010324.jpg,85,100,100
lkudwjg7,000000016308.jpg,77,100,3
i868drxb,000000001053.jpg,93,70,64
40ppjmgf,000000010324.jpg,82,96,26
6tlvseoo,000000011494.jpg,81,78,27
s79qigzu,000000018766.jpg,86,35,67
ufkljqx6,000000002415.jpg,82,71,57
f66tlmwh,000000002400.jpg,95,85,95
6lw3mlc4,000000000049.jpg,70,60,65
gh84fz1i,000000005755.jpg,95,95,86
1eqhdtfe,000000010324.jpg,92,89,95
x77wvtq2,000000016308.jpg,92,95,77
8rt3pgam,000000010324.jpg,62,67,66
dwv08vyf,000000005213.jpg,89,86,79
c25iyqot,000000011567.jpg,82,89,80
b14px10q,000000009172.jpg,77,61,28
crrwp650,000000003325.jpg,92,95,31
udbwtzd7,000000003080.jpg,74,86,58
ukggiqfc,000000009172.jpg,84,72,63
csp106dw,000000009172.jpg,45,59,60
b6wi3xvt,000000018766.jpg,82,84,78
vzom46a3,000000010324.jpg,77,85,71
envlwttt,000000011034.jpg,75,84,37
4vzy57zd,000000012109.jpg,90,84,64
yclfa3ya,000000003325.jpg,72,74,68
8ugtpjgb,000000011034.jpg,73,79,65
lyat13fm,000000000049.jpg,84,72,66
vslgmlss,000000018766.jpg,94,46,61
lub2q0b5,000000018766.jpg,94,88,65
